Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Experimental Condition [Parasite Line],Compound 1 Name,Compound 1 InChIKey,Compound 1 PubChem CID,Compound 1 Concentration (uM),Compound 1 Mechanism of Action (MoA),Compound 2 Name,Compound 2 InChIKey,Compound 2 PubChem CID,Compound 2 Concentration (uM),Compound 2 Mechanism of Action (MoA),Control Type,Channels,Comment [Image File Path]
190206,B2,Plasmodium falciparum 3D7,NCBITaxon,36329,Modified to express cytosolic superfolded GFP,DMSO,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,679,,,,,,,,negative,BF:Brightfield; DAPI:DNA; GFP:Cytosolic GFP; Cy3:Red Blood Cell; Cy5:Mitochondria,190206_asexual_withGFP/NDExp_WellB02_Point0000_Seq0000.nd2
190206,B3,Plasmodium falciparum 3D7,NCBITaxon,36329,Modified to express cytosolic superfolded GFP,DMSO,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,679,,,,,,,,negative,BF:Brightfield; DAPI:DNA; GFP:Cytosolic GFP; Cy3:Red Blood Cell; Cy5:Mitochondria,190206_asexual_withGFP/NDExp_WellB03_Point0000_Seq0032.nd2
190206,B4,Plasmodium falciparum 3D7,NCBITaxon,36329,Modified to express cytosolic superfolded GFP,DMSO,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,679,,,,,,,,negative,BF:Brightfield; DAPI:DNA; GFP:Cytosolic GFP; Cy3:Red Blood Cell; Cy5:Mitochondria,190206_asexual_withGFP/NDExp_WellB04_Point0000_Seq0064.nd2
190206,B5,Plasmodium falciparum 3D7,NCBITaxon,36329,Modified to express cytosolic superfolded GFP,DMSO,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,679,,,,,,,,negative,BF:Brightfield; DAPI:DNA; GFP:Cytosolic GFP; Cy3:Red Blood Cell; Cy5:Mitochondria,190206_asexual_withGFP/NDExp_WellB05_Point0000_Seq0096.nd2
190206,B6,Plasmodium falciparum 3D7,NCBITaxon,36329,Modified to express cytosolic superfolded GFP,DMSO,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,679,,,,,,,,negative,BF:Brightfield; DAPI:DNA; GFP:Cytosolic GFP; Cy3:Red Blood Cell; Cy5:Mitochondria,190206_asexual_withGFP/NDExp_WellB06_Point0000_Seq0128.nd2
190206,B7,Plasmodium falciparum 3D7,NCBITaxon,36329,Modified to express cytosolic superfolded GFP,DMSO,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,679,,,,,,,,negative,BF:Brightfield; DAPI:DNA; GFP:Cytosolic GFP; Cy3:Red Blood Cell; Cy5:Mitochondria,190206_asexual_withGFP/NDExp_WellB07_Point0000_Seq0160.nd2
190206,B8,Plasmodium falciparum 3D7,NCBITaxon,36329,Modified to express cytosolic superfolded GFP,DMSO,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,679,,,,,,,,negative,BF:Brightfield; DAPI:DNA; GFP:Cytosolic GFP; Cy3:Red Blood Cell; Cy5:Mitochondria,190206_asexual_withGFP/NDExp_WellB08_Point0000_Seq0192.nd2
190206,B9,Plasmodium falciparum 3D7,NCBITaxon,36329,Modified to express cytosolic superfolded GFP,DMSO,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,679,,,,,,,,negative,BF:Brightfield; DAPI:DNA; GFP:Cytosolic GFP; Cy3:Red Blood Cell; Cy5:Mitochondria,190206_asexual_withGFP/NDExp_WellB09_Point0000_Seq0224.nd2
190206,B10,Plasmodium falciparum 3D7,NCBITaxon,36329,Modified to express cytosolic superfolded GFP,DMSO,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,679,,,,,,,,negative,BF:Brightfield; DAPI:DNA; GFP:Cytosolic GFP; Cy3:Red Blood Cell; Cy5:Mitochondria,190206_asexual_withGFP/NDExp_WellB10_Point0000_Seq0256.nd2
190206,B11,Plasmodium falciparum 3D7,NCBITaxon,36329,Modified to express cytosolic superfolded GFP,DMSO,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,679,,,,,,,,negative,BF:Brightfield; DAPI:DNA; GFP:Cytosolic GFP; Cy3:Red Blood Cell; Cy5:Mitochondria,190206_asexual_withGFP/NDExp_WellB11_Point0000_Seq0288.nd2
190206,C2,Plasmodium falciparum 3D7,NCBITaxon,36329,Modified to express cytosolic superfolded GFP,DMSO,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,679,,,,,,,,negative,BF:Brightfield; DAPI:DNA; GFP:Cytosolic GFP; Cy3:Red Blood Cell; Cy5:Mitochondria,190206_asexual_withGFP/NDExp_WellC02_Point0000_Seq0608.nd2
190206,C3,Plasmodium falciparum 3D7,NCBITaxon,36329,Modified to express cytosolic superfolded GFP,DMSO,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,679,,,,,,,,negative,BF:Brightfield; DAPI:DNA; GFP:Cytosolic GFP; Cy3:Red Blood Cell; Cy5:Mitochondria,190206_asexual_withGFP/NDExp_WellC03_Point0000_Seq0576.nd2
190206,E2,Plasmodium falciparum 3D7,NCBITaxon,36329,Modified to express cytosolic superfolded GFP,DMSO,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,679,,,,,,,,negative,BF:Brightfield; DAPI:DNA; GFP:Cytosolic GFP; Cy3:Red Blood Cell; Cy5:Mitochondria,190206_asexual_withGFP/NDExp_WellE02_Point0000_Seq1248.nd2
190206,E3,Plasmodium falciparum 3D7,NCBITaxon,36329,Modified to express cytosolic superfolded GFP,DMSO,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,679,,,,,,,,negative,BF:Brightfield; DAPI:DNA; GFP:Cytosolic GFP; Cy3:Red Blood Cell; Cy5:Mitochondria,190206_asexual_withGFP/NDExp_WellE03_Point0000_Seq1216.nd2
190206,E4,Plasmodium falciparum 3D7,NCBITaxon,36329,Modified to express cytosolic superfolded GFP,DMSO,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,679,,,,,,,,negative,BF:Brightfield; DAPI:DNA; GFP:Cytosolic GFP; Cy3:Red Blood Cell; Cy5:Mitochondria,190206_asexual_withGFP/NDExp_WellE04_Point0000_Seq1184.nd2
